horizon,IC,ranked_IC,direction_acc,N_total,N_eff,dt_25,dt_mean,dt_median,dt_75
10,0.6813928876535671,0.6290231203044214,0.9,64,20,0.000203503497687052,0.037846402906097865,0.0011200799999642186,0.029148367248126306
50,0.5952283178155954,0.5856053303678393,0.7446808510638298,64,47,0.004813939000086975,0.21789161056221928,0.06378293650050182,0.2874744085002021
100,0.5046039720671094,0.5257522157424576,0.6491228070175439,64,57,0.0518537517527875,0.42246591957734836,0.17894557600084227,0.5051572949978436
250,0.3859295623687909,0.31135913997756287,0.5862068965517241,64,58,0.1829966940003942,1.0042075881408437,0.5155127449979773,1.3362013697496877
500,0.221072629231216,0.21698934585863217,0.5344827586206896,64,58,0.7715887244994519,1.979256035968774,1.299787430500146,2.685546487249667
1000,0.10968734706433692,0.14349816849816846,0.5396825396825397,64,63,1.5760632005021762,4.091331751609118,2.809209853003267,5.597550011747444
