label,seed,run_id,source_jids,n_checkpoints,first_step,final_step,target_step,N,D_first,D_final,L_first,L_min,L_final,n_tickers,source,endpoint_step,endpoint_D,endpoint_L,endpoint_protocol,reached_target,D_first_B,D_final_B,endpoint_D_B,standalone_plot
46M,137,46M-s137,4514395,6,55280,63410,63407,46429199,91985920000,105514240000,0.57459276076215,0.5732140921714125,0.5732140921714125,487,test_ce_sp500_jan2026,63410,105514240000,0.5732140921714125,endpoint,True,91.98592,105.51424,105.51424,runs/08_46M-s137.png
78M,5,78M-s5,4499538,7,210,28730,28728,78539423,349440000,47806720000,2.26314181566728,0.5763583457445461,0.5763583457445461,487,test_ce_sp500_jan2026,28730,47806720000,0.5763583457445461,endpoint,True,0.34944,47.80672,47.80672,runs/09_78M-s5.png
78M,42,78M-s42,4499539,7,200,28730,28728,78539423,332800000,47806720000,2.3662416354831484,0.5777068805156058,0.5777068805156058,487,test_ce_sp500_jan2026,28730,47806720000,0.5777068805156058,endpoint,True,0.3328,47.80672,47.80672,runs/09_78M-s42.png
78M,137,78M-s137,4499540,7,170,28730,28728,78539423,282880000,47806720000,2.4948901784983013,0.5775358949843373,0.5775358949843373,487,test_ce_sp500_jan2026,28730,47806720000,0.5775358949843373,endpoint,True,0.28288,47.80672,47.80672,runs/09_78M-s137.png
120M,5,120M-s5,4499541,7,330,29960,29959,119279919,549120000,49853440000,1.5335261698131444,0.5803477490584709,0.5803477490584709,487,test_ce_sp500_jan2026,29960,49853440000,0.5803477490584709,endpoint,True,0.54912,49.85344,49.85344,runs/10_120M-s5.png
120M,42,120M-s42,4499542,7,330,29960,29959,119279919,549120000,49853440000,1.5495371222496033,0.5846719990887926,0.5846719990887926,487,test_ce_sp500_jan2026,29960,49853440000,0.5846719990887926,endpoint,True,0.54912,49.85344,49.85344,runs/10_120M-s42.png
120M,137,120M-s137,4499543,7,340,29960,29959,119279919,565760000,49853440000,1.515260489202378,0.582752154899084,0.582752154899084,487,test_ce_sp500_jan2026,29960,49853440000,0.582752154899084,endpoint,True,0.56576,49.85344,49.85344,runs/10_120M-s137.png
200M,5,200M-s5,4499578,9,350,16220,16210,196572423,582400000,26990080000,1.443539341372386,0.60144946658391,0.60144946658391,487,test_ce_sp500_jan2026,16220,26990080000,0.60144946658391,endpoint,True,0.5824,26.99008,26.99008,runs/11_200M-s5.png
200M,42,200M-s42,4499579,9,300,16220,16210,196572423,499200000,26990080000,1.5990388525584884,0.598801632375443,0.598801632375443,487,test_ce_sp500_jan2026,16220,26990080000,0.598801632375443,endpoint,True,0.4992,26.99008,26.99008,runs/11_200M-s42.png
350M,5,350M-s5,4499580,8,240,10680,10670,293283039,399360000,17771520000,1.7656125924425694,0.6111111240710076,0.6111111240710076,487,test_ce_sp500_jan2026,10680,17771520000,0.6111111240710076,endpoint,True,0.39936,17.77152,17.77152,runs/12_350M-s5.png
350M,42,350M-s42,4499581,8,200,10680,10670,293283039,332800000,17771520000,2.1165929070733167,0.6144531371657119,0.6144531371657119,487,test_ce_sp500_jan2026,10680,17771520000,0.6144531371657119,endpoint,True,0.3328,17.77152,17.77152,runs/12_350M-s42.png
