3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,180,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,45,3307200,70,3307600,160,3307100,35,3307700,200,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,35,3307200,70,3307600,160,3307100,35,3307700,200,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
3307500,25,3307200,70,3307600,160,3307100,35,3307700,200,3307000,319,3307800,48,3306900,185,3307900,35,3306800,235,3308000,139,3306700,269,3308100,38,3306600,66,3308200,129,3306500,158,3308300,139,3306400,19,3308400,238,3306300,14
