36709.299060561,1,264347610,46,3311200,1
36709.299070962,1,264347626,10,3311100,1
36709.299072745,3,264193342,33,3311800,-1
36709.299075530,1,264347630,100,3310700,1
36709.299084594,1,264347638,10,3311200,1
36709.299095699,1,264347642,25,3311200,1
36709.299127819,1,264347666,100,3310800,1
36709.299147251,3,264198790,100,3312300,-1
36709.299156531,1,264347670,4,3310500,1
36709.299166579,1,264347674,10,3311300,1
36709.299177432,3,264193094,10,3311900,-1
36709.299187868,3,264301506,100,3309800,1
36709.299189123,1,264347682,100,3310900,1
36709.299314593,3,264193018,10,3312000,-1
36709.299474536,2,264171670,100,3316000,-1
36709.299475244,3,264169686,100,3324000,-1
36709.299532639,3,264307270,100,3341500,-1
36709.299532639,1,264347746,100,3342100,-1
36709.299533915,3,264307274,100,3344800,-1
36709.299533915,1,264347750,100,3345400,-1
36709.299535034,3,264307278,100,3370400,-1
36709.299535034,1,264347754,100,3371000,-1
36709.299536043,3,264307282,100,3544700,-1
36709.299536043,1,264347758,100,3545300,-1
36709.299553884,1,264347762,10,3311700,-1
36709.299577952,1,264347766,22,3311700,-1
36709.299678296,3,264223518,100,3281200,1
36709.299678296,1,264347782,100,3281100,1
36709.299679333,3,264223522,100,3278000,1
36709.299679333,1,264347786,100,3277900,1
36709.299680331,3,264223526,100,3252300,1
36709.299680331,1,264347790,100,3252200,1
36709.299681763,3,264223530,100,3080400,1
36709.299681763,1,264347794,100,3080300,1
36709.299818753,3,264347782,100,3281100,1
36709.299818753,1,264347810,100,3281200,1
36709.299819578,3,264347786,100,3277900,1
36709.299819578,1,264347814,100,3278000,1
36709.299820371,3,264347790,100,3252200,1
36709.299820371,1,264347818,100,3252300,1
36709.299820536,3,264347794,100,3080300,1
36709.299820536,1,264347822,100,3080400,1
36709.299947214,3,264347810,100,3281200,1
36709.299947214,1,264347826,100,3281100,1
36709.299948025,3,264347814,100,3278000,1
36709.299948025,1,264347830,100,3277900,1
36709.299948154,3,264347818,100,3252300,1
36709.299948154,1,264347834,100,3252200,1
36709.299948296,3,264347822,100,3080400,1
36709.299948296,1,264347838,100,3080300,1
36709.299963286,3,264347746,100,3342100,-1
36709.299963286,1,264347842,100,3341600,-1
36709.299964323,3,264347750,100,3345400,-1
36709.299964323,1,264347846,100,3344900,-1
36709.299964480,3,264347754,100,3371000,-1
36709.299964480,1,264347850,100,3370500,-1
36709.299964628,3,264347758,100,3545300,-1
36709.299964628,1,264347854,100,3544800,-1
36709.300255928,3,264347566,100,3311100,1
36709.300285893,1,264348114,123,3311700,-1
36709.301295242,1,264348414,100,3311000,1
36709.305239170,3,264347570,39,3311200,1
36709.305270295,3,264347674,10,3311300,1
36709.305290880,3,264347682,100,3310900,1
36709.309497989,3,264347558,11,3311100,1
36709.309972747,1,264349218,100,3316000,-1
36709.320255996,1,264350298,100,3324000,-1
36709.349544836,3,264347554,22,3311100,1
36709.350179876,3,264347826,100,3281100,1
36709.350179876,1,264351878,100,3281200,1
36709.350180764,3,264347830,100,3277900,1
36709.350180764,1,264351882,100,3278000,1
36709.350181084,3,264347834,100,3252200,1
36709.350181084,1,264351886,100,3252300,1
36709.350182111,3,264347838,100,3080300,1
36709.350182111,1,264351890,100,3080400,1
36709.353064998,3,264347670,4,3310500,1
36709.354638681,1,264352082,1,3200000,1
36709.372068447,3,264346710,300,3313800,-1
36709.372512536,1,264354370,300,3309100,1
36709.372525253,1,264354382,200,3313900,-1
36709.373040804,1,264354502,100,3311000,1
36709.407972885,1,264356886,10,3311900,-1
36709.408016065,3,264348414,100,3311000,1
36709.408018294,3,264347610,46,3311200,1
36709.410797646,1,264357954,100,3311000,1
36709.430058616,3,264357954,100,3311000,1
36709.430081306,3,264347642,25,3311200,1
36709.430101628,3,264347638,10,3311200,1
36709.430138383,3,264347626,10,3311100,1
36709.430266471,3,264306418,22,3310900,1
36709.430266471,1,264360014,22,3311000,1
36709.430280434,3,264347666,100,3310800,1
36709.430281276,3,264347630,100,3310700,1
36709.433048223,1,264360286,100,3312300,-1
36709.459627224,3,264360286,100,3312300,-1
36709.464406178,1,264361498,100,3311000,1
36709.472563779,3,264354370,300,3309100,1
36709.535245502,1,264369934,100,3312300,-1
36709.540163363,3,264361498,100,3311000,1
36709.572618600,3,264354382,200,3313900,-1
36709.590950391,3,264369934,100,3312300,-1
36709.593073743,1,264372786,100,3311000,1
36709.599576026,3,264193238,100,3311900,-1
36709.774817504,3,264372786,100,3311000,1
36709.852192442,1,264388998,100,3312300,-1
36709.935121831,3,264360014,22,3311000,1
36709.935121831,1,264395922,22,3309000,1
36709.935155686,3,264354502,100,3311000,1
36709.935286273,3,264395922,22,3309000,1
36709.935286273,1,264395998,22,3311000,1
36709.974075843,1,264399550,200,3308900,1
36710.029630549,3,264395998,22,3311000,1
36710.029630549,1,264403626,22,3309000,1
36710.029785176,1,264403742,3,3312600,-1
36710.029955955,3,264403626,22,3309000,1
36710.029955955,1,264404110,22,3311000,1
36710.031480722,3,264388998,100,3312300,-1
36710.033836296,1,264406122,100,3311000,1
36710.073952263,3,264399550,200,3308900,1
36710.074393205,1,264409338,300,3309100,1
36710.112113604,3,264211098,10,3311700,-1
36710.112160350,3,264404110,22,3311000,1
36710.112160350,1,264412014,22,3311100,1
36710.112173153,3,264193074,22,3312000,-1
36710.112173153,1,264412026,22,3314000,-1
36710.112187884,1,264412030,25,3311100,1
36710.112190894,1,264412034,100,3310700,1
36710.112199920,1,264412038,10,3311200,1
36710.112222849,1,264412042,10,3311200,1
36710.112225697,1,264412046,25,3311200,1
36710.112230960,1,264412054,100,3310800,1
36710.112235860,3,264356886,10,3311900,-1
36710.112251243,3,264195686,100,3312400,-1
36710.112319237,3,264412014,22,3311100,1
36710.112319237,1,264412074,22,3311300,1
36710.112341615,1,264412082,10,3311300,1
36710.112342391,1,264412086,100,3310900,1
36710.112349902,1,264412090,46,3311300,1
36710.112369138,1,264412094,10,3311300,1
36710.112456607,4,264264906,100,3311700,-1
36710.112456607,4,264307114,100,3311700,-1
36710.112456607,4,264347762,10,3311700,-1
36710.112456607,4,264347766,22,3311700,-1
36710.112456607,4,264348114,23,3311700,-1
36710.112481331,1,264412142,11,3311400,1
36710.112481614,4,264348114,34,3311700,-1
36710.112482859,4,264348114,1,3311700,-1
36710.112485893,3,264193110,10,3311900,-1
36710.112486885,4,264348114,65,3311700,-1
36710.112489912,3,264185838,25,3312000,-1
36710.112490481,3,264175846,25,3312100,-1
36710.112491567,3,264175634,25,3312200,-1
36710.112491691,3,264193134,25,3311900,-1
36710.112505675,1,264412222,10,3311400,1
36710.112506459,3,264193358,100,3312200,-1
36710.112508867,1,264412226,100,3311000,1
36710.112510596,1,264412230,27,3311500,1
36710.112516540,3,264193418,100,3312100,-1
36710.112519680,3,264193114,100,3312300,-1
36710.112524774,3,264212774,100,3309900,1
36710.112536995,1,264412242,25,3311400,1
36710.112548262,1,264412250,100,3311100,1
36710.112555085,1,264412254,46,3311500,1
36710.112562093,1,264412262,10,3311500,1
36710.112562922,3,264412094,10,3311300,1
36710.112569102,3,264199178,100,3310000,1
36710.112571147,1,264412266,100,3313000,-1
36710.112572743,3,264192906,10,3312100,-1
36710.112592992,1,264412274,25,3311500,1
36710.112601176,3,264193078,100,3312000,-1
36710.112626816,3,264186046,100,3312500,-1
36710.112644508,3,264412262,10,3311500,1
36710.112645225,1,264412282,10,3311600,1
36710.112667084,3,264196882,100,3310100,1
36710.112668413,1,264412286,100,3311200,1
36710.112726835,1,264412310,10,3311600,1
36710.112766513,1,264412350,3,3310500,1
36710.112825560,3,264183762,100,3312600,-1
36710.112927335,3,264412282,10,3311600,1
36710.112947014,1,264412426,25,3311600,1
36710.112984096,3,264350298,100,3324000,-1
36710.113056108,1,264412470,10,3311800,-1
36710.113075836,3,264412230,27,3311500,1
36710.113078179,1,264412474,100,3312300,-1
36710.113109063,3,264347842,100,3341600,-1
36710.113109063,1,264412482,100,3342100,-1
36710.113110017,3,264347846,100,3344900,-1
36710.113110017,1,264412486,100,3345400,-1
36710.113110857,3,264347850,100,3370500,-1
36710.113110857,1,264412490,100,3371000,-1
36710.113112316,3,264347854,100,3544800,-1
36710.113112316,1,264412494,100,3545300,-1
36710.113126072,3,264412482,100,3342100,-1
36710.113126072,1,264412498,100,3342400,-1
36710.113126971,3,264412486,100,3345400,-1
36710.113126971,1,264412502,100,3345700,-1
36710.113127079,3,264412490,100,3371000,-1
36710.113127079,1,264412506,100,3371300,-1
36710.113127306,3,264412494,100,3545300,-1
36710.113127306,1,264412510,100,3545600,-1
36710.113133219,1,264412514,100,3312200,-1
36710.113180887,3,264212550,14,3312900,-1
36710.113303135,3,264351878,100,3281200,1
36710.113303135,1,264412566,100,3281500,1
36710.113303977,3,264351882,100,3278000,1
36710.113303977,1,264412570,100,3278300,1
36710.113305181,3,264351886,100,3252300,1
36710.113305181,1,264412574,100,3252600,1
36710.113306482,3,264351890,100,3080400,1
36710.113306482,1,264412578,100,3080700,1
36710.113389791,3,264412566,100,3281500,1
36710.113389791,1,264412594,100,3281200,1
36710.113389923,3,264412570,100,3278300,1
36710.113389923,1,264412598,100,3278000,1
36710.113390062,3,264412574,100,3252600,1
36710.113390062,1,264412602,100,3252300,1
36710.113390214,3,264412578,100,3080700,1
36710.113390214,1,264412606,100,3080400,1
36710.113416340,3,264412310,10,3311600,1
36710.113439026,3,264412426,25,3311600,1
36710.113459416,3,264412286,100,3311200,1
36710.113464716,1,264412654,35,3312100,-1
36710.113481263,3,264412274,25,3311500,1
36710.113506964,3,264412254,46,3311500,1
36710.113527204,3,264412250,100,3311100,1
36710.113546256,1,264412690,10,3311400,1
36710.113629597,3,264412074,22,3311300,1
36710.113629597,1,264412730,22,3311400,1
36710.113767345,3,264412498,100,3342400,-1
36710.113767345,1,264412746,100,3342700,-1
36710.113768174,3,264412502,100,3345700,-1
36710.113768174,1,264412750,100,3346000,-1
36710.113768335,3,264412506,100,3371300,-1
36710.113768335,1,264412754,100,3371600,-1
36710.113768497,3,264412510,100,3545600,-1
36710.113768497,1,264412758,100,3545900,-1
36710.114051589,3,264412746,100,3342700,-1
36710.114051589,1,264412794,100,3342800,-1
36710.114052389,3,264412750,100,3346000,-1
36710.114052389,1,264412798,100,3346100,-1
36710.114052568,3,264412754,100,3371600,-1
36710.114052568,1,264412802,100,3371700,-1
36710.114052943,3,264412758,100,3545900,-1
36710.114052943,1,264412806,100,3546000,-1
36710.114216403,3,264403742,3,3312600,-1
36710.115467950,3,264338722,3,3312800,-1
36710.115539473,1,264412854,100,3312600,-1
36710.115682238,1,264412862,100,3311300,1
36710.116253120,3,264412794,100,3342800,-1
