outcome,label,seed,run_id,source_jid,step,target_step,N,D,L,n_tickers,source,D_B
heldout_ce,4M,137,4M-s137,4509660,54610,57968,5735627,90871040000,0.6121891267612974,487,test_ce_sp500_jan2026,90.87104
heldout_ce,4M,137,4M-s137,4509660,57930,57968,5735627,96395520000,0.6116806501847762,487,test_ce_sp500_jan2026,96.39552
heldout_ce,4M,137,4M-s137,4509660,57970,57968,5735627,96462080000,0.6116693604286202,487,test_ce_sp500_jan2026,96.46208
heldout_ce,6M,5,6M-s5,4501060,420,106909,8099567,698880000,2.8390629176486444,487,gap_fill_pred4501060,0.69888
heldout_ce,6M,5,6M-s5,4501060,3340,106909,8099567,5557760000,0.7634296146751185,487,gap_fill_pred4501060,5.55776
heldout_ce,6M,5,6M-s5,4501060,6200,106909,8099567,10316800000,0.6690227188001668,487,gap_fill_pred4501060,10.3168
heldout_ce,6M,5,6M-s5,4501060,14880,106909,8099567,24760320000,0.6279793978961341,487,gap_fill_pred4501060,24.76032
heldout_ce,6M,5,6M-s5,4506444,32320,106909,8099567,53780480000,0.6095578296595775,487,gap_fill_pred4506444,53.78048
heldout_ce,6M,5,6M-s5,4506444,35960,106909,8099567,59837440000,0.6084452929315626,487,gap_fill_pred4506444,59.83744
heldout_ce,6M,5,6M-s5,4506444,41780,106909,8099567,69521920000,0.6049402772278756,487,gap_fill_pred4506444,69.52192
heldout_ce,6M,5,6M-s5,4506444,47560,106909,8099567,79139840000,0.6022417313386772,487,gap_fill_pred4506444,79.13984
heldout_ce,6M,5,6M-s5,4506444,53330,106909,8099567,88741120000,0.601139944804033,487,gap_fill_pred4506444,88.74112
heldout_ce,6M,5,6M-s5,4506444,59090,106909,8099567,98325760000,0.5991947193777292,487,gap_fill_pred4506444,98.32576
heldout_ce,6M,5,6M-s5,4508786,65440,106909,8099567,108892160000,0.5944943216914269,487,test_ce_sp500_jan2026,108.89216
heldout_ce,6M,5,6M-s5,4508786,69110,106909,8099567,114999040000,0.5935842063759876,487,test_ce_sp500_jan2026,114.99904
heldout_ce,6M,5,6M-s5,4508786,72080,106909,8099567,119941120000,0.5924666458453975,487,test_ce_sp500_jan2026,119.94112
heldout_ce,6M,5,6M-s5,4508786,78060,106909,8099567,129891840000,0.5907103031934898,487,test_ce_sp500_jan2026,129.89184
heldout_ce,6M,5,6M-s5,4508786,81050,106909,8099567,134867200000,0.5901319035759207,487,test_ce_sp500_jan2026,134.8672
heldout_ce,6M,5,6M-s5,4508786,86850,106909,8099567,144518400000,0.588225798929986,487,test_ce_sp500_jan2026,144.5184
heldout_ce,6M,5,6M-s5,4508786,89840,106909,8099567,149493760000,0.5877554949671336,487,test_ce_sp500_jan2026,149.49376
heldout_ce,6M,5,6M-s5,4508786,95810,106909,8099567,159427840000,0.5867889459250644,487,test_ce_sp500_jan2026,159.42784
heldout_ce,6M,5,6M-s5,4508786,101650,106909,8099567,169145600000,0.5861607625376762,487,test_ce_sp500_jan2026,169.1456
heldout_ce,6M,5,6M-s5,4508786,106910,106909,8099567,177898240000,0.585814295424573,487,test_ce_sp500_jan2026,177.89824
heldout_ce,6M,42,6M-s42,4507459,64830,106909,8099567,107877120000,0.5960628904356359,487,test_ce_sp500_jan2026,107.87712
heldout_ce,6M,42,6M-s42,4507459,68500,106909,8099567,113984000000,0.5948673339227876,487,test_ce_sp500_jan2026,113.984
heldout_ce,6M,42,6M-s42,4507459,71430,106909,8099567,118859520000,0.5936904481671429,487,test_ce_sp500_jan2026,118.85952
heldout_ce,6M,42,6M-s42,4507459,77270,106909,8099567,128577280000,0.5921587874879582,487,test_ce_sp500_jan2026,128.57728
heldout_ce,6M,42,6M-s42,4507459,80190,106909,8099567,133436160000,0.5915946846013197,487,test_ce_sp500_jan2026,133.43616
heldout_ce,6M,42,6M-s42,4507459,86030,106909,8099567,143153920000,0.5899199599847657,487,test_ce_sp500_jan2026,143.15392
heldout_ce,6M,42,6M-s42,4507459,91870,106909,8099567,152871680000,0.5888132226540568,487,test_ce_sp500_jan2026,152.87168
heldout_ce,6M,42,6M-s42,4507459,94790,106909,8099567,157730560000,0.5882804891901584,487,test_ce_sp500_jan2026,157.73056
heldout_ce,6M,42,6M-s42,4507459,100620,106909,8099567,167431680000,0.5877238958768042,487,test_ce_sp500_jan2026,167.43168
heldout_ce,6M,42,6M-s42,4507459,106910,106909,8099567,177898240000,0.5871914937878047,487,test_ce_sp500_jan2026,177.89824
heldout_ce,6M,137,6M-s137,4499369,400,106909,8099567,665600000,2.436770060223965,487,gap_fill_pred4499369,0.6656
heldout_ce,6M,137,6M-s137,4499369,3280,106909,8099567,5457920000,0.7370393118329607,487,gap_fill_pred4499369,5.45792
heldout_ce,6M,137,6M-s137,4499369,8960,106909,8099567,14909440000,0.6526178223151691,487,gap_fill_pred4499369,14.90944
heldout_ce,6M,137,6M-s137,4499369,23070,106909,8099567,38388480000,0.621778670644858,487,gap_fill_pred4499369,38.38848
heldout_ce,6M,137,6M-s137,4499369,65440,106909,8099567,108892160000,0.5944943216914269,487,gap_fill_pred4499369,108.89216
heldout_ce,6M,137,6M-s137,4509365,65780,106909,8099567,109457920000,0.589721535755134,487,test_ce_sp500_jan2026,109.45792
heldout_ce,6M,137,6M-s137,4509365,69440,106909,8099567,115548160000,0.5882215166973137,487,test_ce_sp500_jan2026,115.54816
heldout_ce,6M,137,6M-s137,4509365,72270,106909,8099567,120257280000,0.5875098691216729,487,test_ce_sp500_jan2026,120.25728
heldout_ce,6M,137,6M-s137,4509365,78230,106909,8099567,130174720000,0.5858861583703842,487,test_ce_sp500_jan2026,130.17472
heldout_ce,6M,137,6M-s137,4509365,81210,106909,8099567,135133440000,0.5849893370325805,487,test_ce_sp500_jan2026,135.13344
heldout_ce,6M,137,6M-s137,4509365,87150,106909,8099567,145017600000,0.5835742868437169,487,test_ce_sp500_jan2026,145.0176
heldout_ce,6M,137,6M-s137,4509365,90020,106909,8099567,149793280000,0.5832897138301841,487,test_ce_sp500_jan2026,149.79328
heldout_ce,6M,137,6M-s137,4509365,95980,106909,8099567,159710720000,0.5824012700047582,487,test_ce_sp500_jan2026,159.71072
heldout_ce,6M,137,6M-s137,4509365,101950,106909,8099567,169644800000,0.5816190605658036,487,test_ce_sp500_jan2026,169.6448
heldout_ce,6M,137,6M-s137,4509365,106910,106909,8099567,177898240000,0.581242824604379,487,test_ce_sp500_jan2026,177.89824
heldout_ce,10M,5,10M-s5,4507471,53250,84335,11002899,88608000000,0.5942505552783395,487,test_ce_sp500_jan2026,88.608
heldout_ce,10M,5,10M-s5,4507471,56140,84335,11002899,93416960000,0.5932367503398253,487,test_ce_sp500_jan2026,93.41696
heldout_ce,10M,5,10M-s5,4507471,58430,84335,11002899,97227520000,0.5923435060762526,487,test_ce_sp500_jan2026,97.22752
heldout_ce,10M,5,10M-s5,4507471,63000,84335,11002899,104832000000,0.5908213962152509,487,test_ce_sp500_jan2026,104.832
heldout_ce,10M,5,10M-s5,4507471,65280,84335,11002899,108625920000,0.5900321184854488,487,test_ce_sp500_jan2026,108.62592
heldout_ce,10M,5,10M-s5,4507471,69830,84335,11002899,116197120000,0.5887994317670623,487,test_ce_sp500_jan2026,116.19712
heldout_ce,10M,5,10M-s5,4507471,72110,84335,11002899,119991040000,0.5883811061754364,487,test_ce_sp500_jan2026,119.99104
heldout_ce,10M,5,10M-s5,4507471,76670,84335,11002899,127578880000,0.5875736713654207,487,test_ce_sp500_jan2026,127.57888
heldout_ce,10M,5,10M-s5,4507471,81120,84335,11002899,134983680000,0.5870229249372619,487,test_ce_sp500_jan2026,134.98368
heldout_ce,10M,5,10M-s5,4507471,84340,84335,11002899,140341760000,0.5868647708662726,487,test_ce_sp500_jan2026,140.34176
