size_order,label,nominal_seed,run_id,attempt_rank,observed_segment_rank,jid,wandb_run_id,wandb_state,segment_role,global_step,step_loss,progress,target_step,cross_seed_restore
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,7190,0.9140337109565736,0.6781739294472741,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,7350,0.9239314198493958,0.6932654216185625,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,7510,0.9149622917175292,0.708356913789851,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,7600,0.905908226966858,0.7168458781362007,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,7740,0.8995534181594849,0.7300509337860781,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,7900,0.893768310546875,0.7451424259573666,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,8070,0.8965830206871033,0.7611771363893605,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,8240,0.8969828486442566,0.7772118468213545,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,8390,0.8906801342964172,0.7913601207319374,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,8560,0.8943214416503906,0.8073948311639313,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,8720,0.887359082698822,0.8224863233352198,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,8880,0.8880267143249512,0.8375778155065082,10602,False
0,0p2M,5,0p2M-s5,7,0,j4499062,b6hzllea,crashed,crashed_pre_resume,9040,0.8799633979797363,0.8526693076777967,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,8610,0.898127019405365,0.812110922467459,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,8750,0.889717698097229,0.8253159781173364,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,8910,0.8863075375556946,0.8404074702886248,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,9070,0.8905698657035828,0.8554989624599132,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,9240,0.8915824890136719,0.8715336728919072,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,9420,0.8896234631538391,0.8885116015846066,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,9600,0.8697835803031921,0.9054895302773062,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,9780,0.8781775832176208,0.9224674589700057,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,9970,0.8904480338096619,0.9403886059234107,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,10160,0.8794105648994446,0.9583097528768157,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,10350,0.8886019587516785,0.9762308998302207,10602,False
0,0p2M,5,0p2M-s5,9,1,j4507398,viq1l1h6,finished,final,10530,0.8573924899101257,0.9932088285229203,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,1060,1.318675875663757,0.09998113563478589,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,1220,1.2748230695724487,0.11507262780607433,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,1400,1.197810173034668,0.1320505564987738,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,1580,1.1800864934921265,0.1490284851914733,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,1760,1.152031183242798,0.1660064138841728,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,1950,1.1401132345199585,0.1839275608375778,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,2140,1.130357027053833,0.20184870779098282,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,2330,1.1131631135940552,0.21976985474438784,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,2520,1.1052111387252808,0.23769100169779286,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,2710,1.0931419134140017,0.2556121486511979,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,2900,1.08418071269989,0.2735332956046029,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,3090,1.0502824783325195,0.2914544425580079,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,3200,1.0654757022857666,0.30182984342576874,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,3400,1.0633536577224731,0.32069420863987924,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,3590,1.0604702234268188,0.33861535559328426,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,3780,1.0875012874603271,0.3565365025466893,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,3970,1.0637344121932983,0.3744576495000943,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,4160,1.0429798364639282,0.3923787964534993,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,4350,1.0339105129241943,0.41029994340690434,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,4540,1.0433382987976074,0.42822109036030936,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,4730,1.0271852016448977,0.4461422373137144,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,4920,1.0164594650268557,0.4640633842671194,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,5120,1.0031732320785522,0.48292774948122996,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,5310,1.0145080089569092,0.5008488964346349,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,5500,1.0096515417099,0.51877004338804,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,5690,1.0047988891601562,0.536691190341445,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,5880,1.0121430158615112,0.55461233729485,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,6010,0.9916483163833618,0.5668741746840219,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,6210,0.986295521259308,0.5857385398981324,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,6390,0.9826737642288208,0.6027164685908319,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,6580,1.0020887851715088,0.6206376155442369,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,6770,0.9952336549758912,0.638558762497642,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,6960,0.9885172247886658,0.656479909451047,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,7150,0.9681333899497986,0.674401056404452,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,7340,0.9769547581672668,0.692322203357857,10602,False
