size_order,label,seed,run_id,attempt_rank,jid,has_loss_data,wandb_run_id,wandb_state,n_points,step_min,step_max
3,6M,42,6M-s42,6,j4507459,True,it0uggeo,finished,211,65980.0,106800.0
3,6M,137,6M-s137,0,j4416100,False,,,0,,
3,6M,137,6M-s137,1,j4420232,False,,,0,,
3,6M,137,6M-s137,2,j4422344,False,,,0,,
3,6M,137,6M-s137,3,j4424844,False,,,0,,
3,6M,137,6M-s137,4,j4499362,True,6fnrblfy,crashed,349,1190.0,67160.0
3,6M,137,6M-s137,5,j4507240,False,,,0,,
3,6M,137,6M-s137,6,j4507453,False,,,0,,
3,6M,137,6M-s137,7,j4508657,False,,,0,,
3,6M,137,6M-s137,8,j4509365,True,c1rgccd9,finished,203,66920.0,106740.0
4,10M,5,10M-s5,0,j4416103,False,,,0,,
4,10M,5,10M-s5,1,j4420235,False,,,0,,
4,10M,5,10M-s5,2,j4422347,False,,,0,,
4,10M,5,10M-s5,3,j4424847,False,,,0,,
4,10M,5,10M-s5,4,j4499372,True,w0cvc0sn,crashed,348,1130.0,54370.0
4,10M,5,10M-s5,5,j4507261,False,,,0,,
4,10M,5,10M-s5,6,j4507471,True,w7onfwwq,finished,198,54320.0,84200.0
4,10M,42,10M-s42,0,j4416104,False,,,0,,
4,10M,42,10M-s42,1,j4420236,False,,,0,,
4,10M,42,10M-s42,2,j4422348,False,,,0,,
4,10M,42,10M-s42,3,j4499377,True,unnxqc4v,crashed,236,1030.0,37400.0
4,10M,42,10M-s42,4,j4507265,False,,,0,,
4,10M,42,10M-s42,5,j4507579,True,u5yg7cih,finished,308,36380.0,84310.0
4,10M,137,10M-s137,0,j4416105,False,,,0,,
4,10M,137,10M-s137,1,j4420237,False,,,0,,
4,10M,137,10M-s137,2,j4422349,False,,,0,,
4,10M,137,10M-s137,3,j4424849,False,,,0,,
4,10M,137,10M-s137,4,j4499378,True,9o13kj41,crashed,349,1110.0,54330.0
4,10M,137,10M-s137,5,j4508816,False,,,0,,
4,10M,137,10M-s137,6,j4510112,True,26xeayf3,finished,194,54280.0,84320.0
5,14M,5,14M-s5,0,j4420238,False,,,0,,
5,14M,5,14M-s5,1,j4422350,False,,,0,,
5,14M,5,14M-s5,2,j4424850,False,,,0,,
5,14M,5,14M-s5,3,j4499380,True,8idsevip,crashed,159,1050.0,22720.0
5,14M,5,14M-s5,4,j4507584,True,tri6p9y2,finished,378,22010.0,74440.0
5,14M,42,14M-s42,0,j4420239,False,,,0,,
5,14M,42,14M-s42,1,j4422351,False,,,0,,
